"Measure","Ethnicity","Ethnicity_type","Time","Geography","Geography_type","Gender","Age Bracket","NS SEC","Physical Activity Level","Value","Value_type","Denominator (weighted)","Numerator (weighted)","Upper CI","Lower CI","Number of Respondents (unweighted)"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","All","16-74","NS SEC 3-5","Physically active","52","%","439","228","60.5","43.4","265"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","All","16-74","NS SEC 6-7","Physically active","57.4","%","239","137","68.9","45.1","118"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","All","16-74","NS SEC 8","Physically active","32.6","%","187","61","49.4","19.4","85"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","All","16-74","NS SEC 9","Physically active","51.7","%","473","245","60.7","42.6","196"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","All","75+","All","Physically active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","All","16+","All","Physically inactive","35","%","2092","733","38.8","31.5","1418"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","All","16-24","All","Physically inactive","29.3","%","426","125","39.7","20.7","161"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","All","25-34","All","Physically inactive","32.2","%","438","141","40.8","24.7","259"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","All","35-44","All","Physically inactive","42.2","%","459","194","50","34.8","340"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","All","45-54","All","Physically inactive","33.4","%","369","123","41.7","26","291"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","All","55-64","All","Physically inactive","34","%","205","70","44","25.3","186"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","All","65-74","All","Physically inactive","34","%","141","48","46.3","23.5","129"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","All","16-74","NS SEC 1-2","Physically inactive","26","%","704","183","30.4","21.9","705"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","All","16-74","NS SEC 3-5","Physically inactive","40","%","439","175","48.6","31.9","265"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","All","16-74","NS SEC 6-7","Physically inactive","29.7","%","239","71","41.1","20.4","118"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","All","16-74","NS SEC 8","Physically inactive","55.4","%","187","104","70.1","39.8","85"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","All","16-74","NS SEC 9","Physically inactive","35.9","%","473","170","45.3","27.5","196"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","All","75+","All","Physically inactive","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","Female","16+","All","Fairly active","12","%","1033","124","15.6","9.2","769"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","Female","16+","All","Physically active","51.9","%","1033","536","57.2","46.6","769"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","Female","16+","All","Physically inactive","36.1","%","1033","372","41.3","31.1","769"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","Male","16+","All","Fairly active","11.2","%","1044","117","15.1","8.3","638"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","Male","16+","All","Physically active","55","%","1044","574","60.4","49.4","638"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","Male","16+","All","Physically inactive","33.8","%","1044","353","39.2","28.8","638"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","Other gender","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","Other gender","16+","All","Physically active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","England","Country","Other gender","16+","All","Physically inactive","*","%","*","*","*","*","*"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Fairly active","11.7","%","15366","1797","12.3","11.1","21242"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Physically active","60.2","%","15366","9256","61.2","59.2","21242"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Physically inactive","28.1","%","15366","4314","29","27.2","21242"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Fairly active","14.1","%","967","137","18.3","10.8","738"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Physically active","53.1","%","967","513","58.8","47.3","738"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Physically inactive","32.8","%","967","317","38.3","27.7","738"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Fairly active","15.5","%","238","37","22.9","10.1","252"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Physically active","48.3","%","238","115","57.8","38.9","252"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Physically inactive","36.3","%","238","86","46.3","27.3","252"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Physically active","68.7","%","75","52","81.7","51.9","81"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Physically active","62.4","%","194","121","70.9","53","217"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Physically inactive","26.4","%","194","51","34.8","19.5","217"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Fairly active","11.3","%","12730","1434","11.9","10.7","18417"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Physically active","61.4","%","12730","7819","62.4","60.4","18417"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Physically inactive","27.3","%","12730","3477","28.3","26.4","18417"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Fairly active","13.5","%","641","86","17","10.5","846"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Physically active","58.5","%","641","375","63.2","53.6","846"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Physically inactive","28.1","%","641","180","32.6","24","846"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Physically active","43.2","%","79","34","57.8","29.6","90"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East Midlands","Region","All","16+","All","Physically inactive","40.7","%","79","32","56.8","26.3","90"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Fairly active","11.8","%","19649","2310","12.3","11.2","22797"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Physically active","61.5","%","19649","12085","62.4","60.6","22797"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Physically inactive","26.7","%","19649","5255","27.6","25.9","22797"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Fairly active","12.2","%","801","98","16.1","9.1","711"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Physically active","50.4","%","801","404","55.4","45.3","711"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Physically inactive","37.5","%","801","300","42.4","32.7","711"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Fairly active","19.6","%","313","62","27.3","13.7","316"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Physically active","51.7","%","313","162","59.9","43.5","316"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Physically inactive","28.6","%","313","90","35.8","22.3","316"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Physically active","55.5","%","105","58","67.3","43.1","112"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Physically inactive","26.4","%","105","28","39.6","16.5","112"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Fairly active","12.2","%","300","36","17.6","8.3","273"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Physically active","66.7","%","300","200","74.5","58","273"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Physically inactive","21.1","%","300","63","30.1","14.2","273"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Fairly active","11.3","%","16150","1824","11.9","10.7","19155"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Physically active","62.8","%","16150","10136","63.7","61.8","19155"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Physically inactive","25.9","%","16150","4190","26.8","25.1","19155"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Fairly active","13.5","%","1153","156","16.5","11","1328"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Physically active","61.4","%","1153","708","65.1","57.6","1328"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Physically inactive","25.1","%","1153","289","28.5","21.9","1328"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Physically active","50.8","%","163","83","62.2","39.3","151"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","East","Region","All","16+","All","Physically inactive","34.5","%","163","56","46.6","24.1","151"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Fairly active","11.3","%","27796","3129","11.9","10.6","16364"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Physically active","62.3","%","27796","17308","63.3","61.3","16364"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Physically inactive","26.5","%","27796","7360","27.4","25.6","16364"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Fairly active","13.2","%","5145","680","15.3","11.4","2232"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Physically active","51.1","%","5145","2627","53.8","48.3","2232"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Physically inactive","35.7","%","5145","1838","38.4","33.1","2232"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Fairly active","13.9","%","2044","285","16.9","11.4","971"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Physically active","54.6","%","2044","1116","58.7","50.5","971"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Physically inactive","31.5","%","2044","643","35.2","27.9","971"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Fairly active","12.3","%","551","68","17.7","8.5","314"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Physically active","65.3","%","551","360","71.6","58.4","314"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Physically inactive","22.4","%","551","123","28.4","17.3","314"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Fairly active","8","%","1067","85","11.4","5.5","490"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Physically active","71.9","%","1067","768","76.7","66.6","490"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Physically inactive","20.1","%","1067","214","24.9","16","490"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Fairly active","10.6","%","12134","1288","11.6","9.7","8229"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Physically active","67.9","%","12134","8234","69.2","66.5","8229"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Physically inactive","21.5","%","12134","2612","22.8","20.3","8229"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Fairly active","10.1","%","4077","413","11.8","8.6","2584"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Physically active","66.9","%","4077","2726","69.4","64.3","2584"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Physically inactive","23","%","4077","938","25.4","20.8","2584"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Fairly active","10.1","%","1049","106","14","7.3","468"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Physically active","55.7","%","1049","584","61.5","49.7","468"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","London","Region","All","16+","All","Physically inactive","34.2","%","1049","359","40","28.8","468"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Fairly active","11.1","%","8578","950","12.2","10","7500"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Physically active","60","%","8578","5146","61.8","58.1","7500"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Physically inactive","28.9","%","8578","2482","30.7","27.3","7500"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Physically active","62.8","%","207","130","75.7","47.7","163"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Physically inactive","27.1","%","207","56","41.2","16.5","163"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Physically active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Physically active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Physically active","59.7","%","59","35","82.8","31.4","46"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","*"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Fairly active","11.2","%","7741","869","12.4","10.1","6779"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Physically active","60.1","%","7741","4655","62","58.2","6779"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Physically inactive","28.6","%","7741","2218","30.5","26.9","6779"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Physically active","61.9","%","255","158","73.2","49.3","213"
"Percentage of people at each activity level","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Physically inactive","28.6","%","255","73","42","18.2","213"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Physically active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North East","Region","All","16+","All","Physically inactive","*","%","*","*","*","*","*"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Fairly active","11.4","%","23174","2645","12","10.9","26961"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Physically active","59","%","23174","13684","59.9","58.2","26961"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Physically inactive","29.5","%","23174","6846","30.3","28.8","26961"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Fairly active","15.7","%","1333","209","19.2","12.7","1182"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Physically active","43.2","%","1333","576","47.2","39.3","1182"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Physically inactive","41.1","%","1333","548","45","37.3","1182"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Fairly active","13.3","%","269","36","19.6","8.8","288"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Physically active","49.8","%","269","134","57.9","41.7","288"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Physically inactive","36.9","%","269","99","44.7","29.7","288"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Physically active","45.4","%","155","70","55.9","35.2","170"
"Percentage of people at each activity level","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Physically inactive","40.3","%","155","62","50.7","30.7","170"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Physically active","65.7","%","257","168","73.6","56.7","288"
"Percentage of people at each activity level","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Physically inactive","25.8","%","257","66","34.6","18.7","288"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Fairly active","11.1","%","19428","2154","11.7","10.5","23026"
"Percentage of people at each activity level","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2019 to Nov 2020","North West","Region","All","16+","All","Physically active","60.8","%","19428","11805","61.7","59.8","23026"
